"","Date","Avg_Weekly_Sales","Net_Weekly_Sales"
"1",2010-02-05,16836.1219966159,49750740.4999999
"2",2010-02-12,16352.0560317997,48336677.6300001
"3",2010-02-19,16216.6589788378,48276993.7800001
"4",2010-02-26,14899.5496882412,43968571.1299999
"5",2010-03-05,15921.0157269022,46871470.3
"6",2010-03-12,15546.8505450237,45925396.51
"7",2010-03-19,15286.7735779817,44988974.6400001
"8",2010-03-26,14975.8944859179,44133961.05
"9",2010-04-02,17098.6202984063,50423831.26
"10",2010-04-09,16050.5897797357,47365290.44
"11",2010-04-16,15347.7130027174,45183667.08
"12",2010-04-23,15252.1147494033,44734452.56
"13",2010-04-30,14967.5091472602,43705126.7099999
"14",2010-05-07,16542.7160709413,48503243.5199999
"15",2010-05-14,15513.3744695414,45330080.2
"16",2010-05-21,15499.8653589831,45120108.0599999
"17",2010-05-28,16428.4494530444,47757502.56
"18",2010-06-04,17246.9220343642,50188543.1199999
"19",2010-06-11,16440.8892127879,47826546.7200001
"20",2010-06-18,16281.0414461538,47622046.23
"21",2010-06-25,15978.4149091532,46609036.29
"22",2010-07-02,16769.7924237231,48917484.5000002
"23",2010-07-09,16500.0101171203,47899529.3700001
"24",2010-07-16,15940.6754843157,46243899.58
"25",2010-07-23,15357.1156722545,44888849.11
"26",2010-07-30,15300.090305108,44630363.4199999
"27",2010-08-06,16576.6847042641,48204999.1199999
"28",2010-08-13,16044.3433736188,46464418.41
"29",2010-08-20,16222.3208962427,47060952.92
"30",2010-08-27,15841.8704071774,45909740.4400001
"31",2010-09-03,16129.274644566,47194257.61
"32",2010-09-10,15537.7588832142,45634397.8400001
"33",2010-09-17,14708.3395390918,43080726.5099998
"34",2010-09-24,14105.9053240109,41358514.41
"35",2010-10-01,14391.7805349233,42239875.8699999
"36",2010-10-08,15362.0484434605,45102974.23
"37",2010-10-15,14726.7827474403,43149473.4500001
"38",2010-10-22,14678.483135651,43066669.52
"39",2010-10-29,14871.3611698499,43602830.9499999
"40",2010-11-05,15625.2497918089,45781981.89
"41",2010-11-12,15753.0057479508,46124800.8299999
"42",2010-11-19,15475.166042524,45125584.1800001
"43",2010-11-26,22403.3367052417,65821003.2400001
"44",2010-12-03,16924.0515022042,49909027.8800001
"45",2010-12-10,18882.8936194029,55666770.3899998
"46",2010-12-17,20892.463619466,61820799.85
"47",2010-12-24,27378.6926928282,80931415.6000001
"48",2010-12-31,13738.538566089,40432519.0000001
"49",2011-01-07,14599.2449726962,42775787.7699999
"50",2011-01-14,13891.2834836065,40673678.04
"51",2011-01-21,13932.3673851953,40654648.03
"52",2011-01-28,13566.2394621446,39599852.9900001
"53",2011-02-04,15773.4487764867,46153111.12
"54",2011-02-11,16111.7061912865,47336192.7899998
"55",2011-02-18,16541.9912122241,48716164.12
"56",2011-02-25,15049.7475579809,44125859.8400001
"57",2011-03-04,15882.5570453008,46980603.7399999
"58",2011-03-11,15056.4505398111,44627319.4
"59",2011-03-18,15216.1159613428,44872325.97
"60",2011-03-25,14573.8270496261,42876199.1800001
"61",2011-04-01,14726.8692612674,43458991.19
"62",2011-04-08,15634.5713117547,45887466.7999999
"63",2011-04-15,15229.7081408737,44973328.14
"64",2011-04-22,16472.6538274111,48676692.0599999
"65",2011-04-29,14745.9460636856,43530032.78
"66",2011-05-06,15757.2152958978,46861958.2900002
"67",2011-05-13,15317.2041860465,45446144.82
"68",2011-05-20,15002.2472786104,44046598.0100001
"69",2011-05-27,15390.2334488617,45293457.0399999
"70",2011-06-03,16691.3053319644,48771994.18
"71",2011-06-10,16302.9188303694,47669734.66
"72",2011-06-17,16111.2264074703,47447561.77
"73",2011-06-24,15649.4183424284,45884094.5799999
"74",2011-07-01,16232.8623336745,47578519.5000001
"75",2011-07-08,16328.6468031389,47859263.78
"76",2011-07-15,15566.323502052,45515929.9199999
"77",2011-07-22,15526.2041803841,45274411.3900001
"78",2011-07-29,14965.1504898938,43683274.2799999
"79",2011-08-05,16393.1263127347,48015466.97
"80",2011-08-12,15774.0686255116,46249569.2100001
"81",2011-08-19,15888.0283169658,46917347.6199999
"82",2011-08-26,16068.0950355812,47416948.4500001
"83",2011-09-02,15387.1221668362,45376623.27
"84",2011-09-09,15809.0694827586,46763227.5300001
"85",2011-09-16,14865.5668974881,43793960.08
"86",2011-09-23,14446.4310889415,42718096.7299999
"87",2011-09-30,14298.8244018977,42195830.81
"88",2011-10-07,15960.678958756,47211688.3600001
"89",2011-10-14,15062.7360149355,44374820.2999999
"90",2011-10-21,15521.3256910569,45818953.4399999
"91",2011-10-28,15470.9247807018,45855821.05
"92",2011-11-04,16471.0711916047,48655544.3000002
"93",2011-11-11,16348.8110455312,48474224.7500001
"94",2011-11-18,15683.5462884161,46438980.56
"95",2011-11-25,22043.5634756703,66593605.2599999
"96",2011-12-02,16496.5118537074,49390556.4899999
"97",2011-12-09,18458.8530564785,55561147.7000002
"98",2011-12-16,19942.1493328908,60085695.94
"99",2011-12-23,25437.1461215725,76998241.3099998
"100",2011-12-30,15332.1548584748,46042461.0399998
"101",2012-01-06,15121.2317356206,44955421.95
"102",2012-01-13,14168.2665138233,42023078.48
"103",2012-01-20,14221.3574045286,42080996.56
"104",2012-01-27,13494.2326117886,39834974.6700001
"105",2012-02-03,15480.5536076587,46085608.09
"106",2012-02-10,16664.2478907031,50009407.92
"107",2012-02-17,16693.4010508813,50197056.9599999
"108",2012-02-24,15458.1244748395,45771506.5699999
"109",2012-03-02,15672.5869464883,46861034.9700001
"110",2012-03-09,15965.1829556153,47480454.11
"111",2012-03-16,15823.7196153846,46901504.9400001
"112",2012-03-23,15195.4726274907,44993794.45
"113",2012-03-30,15289.7203714961,45272862.02
"114",2012-04-06,17935.7411565538,53502315.87
"115",2012-04-13,15663.1714511253,46629261.41
"116",2012-04-20,15150.4301781513,45072529.78
"117",2012-04-27,14799.1871665538,43716798.89
"118",2012-05-04,15947.2751032149,47124197.9300001
"119",2012-05-11,15784.0158055836,46925878.9900002
"120",2012-05-18,15856.3966203861,46823939.22
"121",2012-05-25,16284.4145902754,47892463.3099999
"122",2012-06-01,16405.5894393476,48281649.7200001
"123",2012-06-08,16774.0445202703,49651171.7800001
"124",2012-06-15,16377.574661705,48412110.7
"125",2012-06-22,16098.7115737926,47668284.9699999
"126",2012-06-29,15887.1844936925,46597112.1200001
"127",2012-07-06,17309.3623370483,51253021.8799999
"128",2012-07-13,15616.4404132791,46099732.1
"129",2012-07-20,15602.8263719512,46059543.4500001
"130",2012-07-27,15034.8295158541,44097154.97
"131",2012-08-03,16004.6847185709,47485899.56
"132",2012-08-10,16030.9269665201,47403451.04
"133",2012-08-17,16025.1952791878,47354452.05
"134",2012-08-24,16029.5012162162,47447323.6
"135",2012-08-31,15921.552812289,47159639.43
"136",2012-09-07,16294.6929568442,48330059.31
"137",2012-09-14,14905.9786484664,44226038.6499999
"138",2012-09-21,14989.7083845894,44354547.1100001
"139",2012-09-28,14765.3272788656,43734899.4
"140",2012-10-05,15983.4137466398,47566639.31
"141",2012-10-12,15427.5967391304,46128514.25
"142",2012-10-19,15295.7323966102,45122410.5700001
"143",2012-10-26,15391.7256809733,45544116.29
